기관명,대수,회기,의안번호,의안명,의안종류,발의일,발의자,발의자구분,공동발의여부,대표발의의원,공동발의의원,소관위원회,위원회상정일,위원회의결일,위원회처리결과,본회의상정일,본회의의결일,본회의처리결과,본회의회의록URL
남양주시의회,9,제294회,172,남양주시 침수 방지시설 설치 및 지원에 관한 조례안,조례안,2023-04-05,시장,시장발의,,,,도시교통위원회,2023-04-13,2023-04-13,원안가결,2023-04-25,2023-04-25,원안가결,https://www.nyjc.go.kr/minutes/svc/web/cms/mnts/SvcMntsViewer.php?schSn=3281
남양주시의회,9,제294회,173,남양주시 주차장 조례 일부개정조례안,조례안,2023-04-05,시장,시장발의,,,,도시교통위원회,2023-04-13,2023-04-13,원안가결,2023-04-25,2023-04-25,원안가결,https://www.nyjc.go.kr/minutes/svc/web/cms/mnts/SvcMntsViewer.php?schSn=3281
남양주시의회,9,제297회,175,남양주시 예술인 기회소득 지급 조례안,조례안,2023-06-02,박윤옥 이수련 한송연 손정자 이정애 박경원 전혜연 이진환 정현미 김동훈 김상수,의회발의,Y,계속)(박윤옥,박윤옥 이수련 한송연 손정자 이정애 박경원 전혜연 이진환 정현미 김동훈 김상수,복지환경위원회,2023-09-11,2023-09-11,,,,,
남양주시의회,9,제295회,176,남양주시 학생 생존수영교육 지원 조례안,조례안,2023-06-02,이경숙 한근수 박경원 조성대 김동훈 원주영 전혜연 김지훈(국) 김영실,의회발의,Y,이경숙,한근수 박경원 조성대 김동훈 원주영 전혜연 김지훈(국) 김영실 박윤옥,복지환경위원회,2023-06-13,2023-06-13,원안가결,2023-06-20,2023-06-20,원안가결,https://www.nyjc.go.kr/minutes/svc/web/cms/mnts/SvcMntsViewer.php?schSn=3311
남양주시의회,9,제295회,177,남양주시 건축 조례 일부개정조례안,조례안,2023-06-02,김상수 조성대 박경원 손정자 이수련 이진환 한송연 박윤옥 이정애 김동훈 김지훈(민),의회발의,Y,김상수,조성대 박경원 손정자 이수련 이진환 한송연 박윤옥 이정애 김동훈 김지훈(민),도시교통위원회,2023-06-13,2023-06-13,원안가결,2023-06-13,2023-06-13,수정가결,https://www.nyjc.go.kr/minutes/svc/web/cms/mnts/SvcMntsViewer.php?schSn=3311
남양주시의회,9,제295회,178,남양주시 공공디자인 조례 전부개정조례안,조례안,2023-06-02,이진환 조성대 박경원 손정자 이수련 정현미 한송연 박윤옥 김지훈(국) 김동훈 이정애 김지훈(민),의회발의,Y,이진환,조성대 박경원 손정자 이수련 정현미 한송연 박윤옥 김지훈(국) 김동훈 이정애 김지훈(민),도시교통위원회,2023-06-13,2023-06-13,원안가결,2023-06-20,2023-06-20,원안가결,https://www.nyjc.go.kr/minutes/svc/web/cms/mnts/SvcMntsViewer.php?schSn=3311
남양주시의회,9,제295회,179,남양주시 자동차정비업 지원에 관한 조례안,조례안,2023-06-02,이정애 조성대 박경원 손정자 이수련 이진환 한송연 박윤옥 이상기 김동훈 김상수 김지훈(민),의회발의,Y,이정애,조성대 박경원 손정자 이수련 이진환 한송연 박윤옥 이상기 김동훈 김상수 김지훈(민),도시교통위원회,2023-06-13,2023-06-13,원안가결,2023-06-20,2023-06-20,원안가결,https://www.nyjc.go.kr/minutes/svc/web/cms/mnts/SvcMntsViewer.php?schSn=3311
남양주시의회,9,제295회,180,남양주시 지역건설산업 활성화 지원 조례 일부개정조례안,조례안,2023-06-02,조성대 김상수 김동훈 박경원 이진환 전혜연 한송연 이정애,의회발의,Y,조성대,김상수 김동훈 박경원 이진환 전혜연 한송연 이정애,도시교통위원회,2023-06-13,2023-06-13,원안가결,2023-06-20,2023-06-20,원안가결,https://www.nyjc.go.kr/minutes/svc/web/cms/mnts/SvcMntsViewer.php?schSn=3311
남양주시의회,9,제295회,181,남양주시 자전거이용 활성화에 관한 조례 일부개정조례안,조례안,2023-06-02,이진환 조성대 박경원 손정자 이수련 정현미 한송연 박윤옥 김지훈(국) 김동훈 이정애 김지훈(민),의회발의,Y,이진환,조성대 박경원 손정자 이수련 정현미 한송연 박윤옥 김지훈(국) 김동훈 이정애 김지훈(민),도시교통위원회,2023-06-13,2023-06-13,원안가결,2023-06-20,2023-06-20,원안가결,https://www.nyjc.go.kr/minutes/svc/web/cms/mnts/SvcMntsViewer.php?schSn=3311
남양주시의회,9,제295회,182,2022회계연도 결산 승인안,승인안,2023-06-02,시장,시장발의,,,,예산결산특별위원회,2023-06-19,2023-06-19,원안가결,2023-06-20,2023-06-20,원안가결,https://www.nyjc.go.kr/minutes/svc/web/cms/mnts/SvcMntsViewer.php?schSn=3311
남양주시의회,9,제295회,183,2022회계연도 예비비 지출 승인안,승인안,2023-06-02,시장,시장발의,,,,예산결산특별위원회,2023-06-19,2023-06-19,원안가결,2023-06-20,2023-06-20,원안가결,https://www.nyjc.go.kr/minutes/svc/web/cms/mnts/SvcMntsViewer.php?schSn=3311
남양주시의회,9,제295회,184,남양주시 정책 및 법률자문관 운영 조례 전부개정조례안,조례안,2023-06-02,시장,시장발의,,,,자치행정위원회,2023-06-13,2023-06-13,원안가결,2023-06-20,2023-06-20,원안가결,https://www.nyjc.go.kr/minutes/svc/web/cms/mnts/SvcMntsViewer.php?schSn=3311
남양주시의회,9,제295회,185,남양주시 정책자문관 운영 조례안,조례안,2023-06-02,시장,시장발의,,,,자치행정위원회,2023-06-13,2023-06-13,원안가결,2023-06-20,2023-06-20,원안가결,https://www.nyjc.go.kr/minutes/svc/web/cms/mnts/SvcMntsViewer.php?schSn=3311
남양주시의회,9,제295회,186,「전국대도시시장협의회」 규약 일부개정 보고안,기타,2023-06-02,시장,시장발의,,,,자치행정위원회,2023-06-13,2023-06-13,원안가결,,,,
남양주시의회,9,제295회,187,남양주시 학술용역 관리 조례 일부개정조례안,조례안,2023-06-02,시장,시장발의,,,,자치행정위원회,2023-06-13,2023-06-13,원안가결,2023-06-20,2023-06-20,원안가결,https://www.nyjc.go.kr/minutes/svc/web/cms/mnts/SvcMntsViewer.php?schSn=3311
남양주시의회,9,,188,2021년도 공유재산관리계획 변경 -금곡 통합어린이집 건립 취소-,기타,2023-06-02,시장,시장발의,,,,자치행정위원회,,,,,,,
